,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Words,kelowna,rcmp,say,they,have,issued,a,fine,to,the,organizer,of,a,protest,and,march,in,the,city,downtown,saturday,that,contravened,provincial,public,health,order,related,to,covid9
Polarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subjectivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.4,0.0,0.0
Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
